Title|User Score|Director|Screenplay|Top Billed Cast|Release Date|Content Rating|Genres|Keywords|Revenue|Original Language|Runtime|Budget|Homepage
Grave Encounters|61.0|Stuart Ortiz,Colin Minihan||Sean Rogerson,Juan Riedinger,Ashleigh Gryzko,Mackenzie Gray,Arthur Corber|2011|100|Thriller,Horror|camcorder,reality,insane asylum,paranormal,haunting,psychiatric hospital,ghost hunting,paranormal investigation,labyrinth,mental asylum,found footage|-|English|1h 32m|$1,000,000.00|http://www.grave-encounters.tv/
The Bye Bye Man|51.0|Stacy Title|Jonathan Penner|Douglas Smith,Lucien Laviscount,Cressida Bonas,Doug Jones,Michael Trucco|2017|100|Horror,Thriller|wisconsin,supernatural,party,violence,hooded figure,woman director,young adult,college student|$26,667,197.00|English|1h 36m|$7,400,000.00|http://stxmovies.com/thebyebyeman/
The Thing|60.0|Matthijs van Heijningen Jr.||Mary Elizabeth Winstead,Joel Edgerton,Ulrich Thomsen,Eric Christian Olsen,Adewale Akinnuoye-Agbaje|2011|100|Horror,Science Fiction,Mystery,Thriller|paranoia,research station,alien life-form,prequel,antarctica,blizzard,duringcreditsstinger|$28,128,670.00|English|1h 43m|$35,000,000.00|http://www.uphe.com/movies/the-thing-2011
Four Christmases|54.0|Seth Gordon|Caleb Wilson,Matt Allen|Vince Vaughn,Reese Witherspoon,Robert Duvall,Sissy Spacek,Jon Voight|2008|100|Comedy,Romance,Drama|holiday,romantic comedy,dysfunctional family,christmas|$163,733,697.00|English|1h 28m|$80,000,000.00|-
Unfaithful|64.0|Adrian Lyne|Alvin Sargent,William Broyles Jr.|Richard Gere,Diane Lane,Olivier Martinez,Erik Per Sullivan,Zeljko Ivanek|2002|93|Thriller,Drama|adultery,infidelity,eroticism,literature,lover,new york city,erotic thriller|$119,137,784.00|English|2h 4m|$50,000,000.00|-
The Players|46.0|Jean Dujardin,Gilles Lellouche,Alexandre Courtes,Eric Lartigau,Fred Cavayé,Michel Hazanavicius,Emmanuelle Bercot|Jean Dujardin,Gilles Lellouche,Philippe Caverivière,Nicolas Bedos,Stéphane Joly|Gilles Lellouche,Guillaume Canet,Aina Clotet,Jean Dujardin,Charles Gérard|2012|100|Comedy|storytelling,woman director|-|French|1h 49m|-|http://www.lesinfideles-lefilm.com/
Deuce Bigalow: Male Gigolo|54.0|Mike Mitchell|Rob Schneider|Rob Schneider,William Forsythe,Eddie Griffin,Arija Bareikis,Oded Fehr|1999|100|Comedy|fish,aquarium,carnival,house,callboy,vacation,illegal prostitution|$65,535,067.00|English|1h 28m|$17,000,000.00|-
Sherlock Holmes: A Game of Shadows|70.0|Guy Ritchie|Michele Mulroney,Kieran Mulroney|Robert Downey Jr.,Jude Law,Jared Harris,Noomi Rapace,Kelly Reilly|2011|100|Adventure,Action,Crime,Mystery|detective inspector,steampunk,criminal mastermind,19th century|$334,615,000.00|English|2h 9m|$125,000,000.00|http://sherlockholmes2.warnerbros.com/index.html
To Die For|67.0|Gus Van Sant|Buck Henry|Nicole Kidman,Matt Dillon,Joaquin Phoenix,Casey Affleck,Illeana Douglas|1995|100|Fantasy,Drama,Comedy,Thriller|adultery,winter,obsession,television,new hampshire,narcissistic personality disorder|$21,284,514.00|English|1h 46m|$20,000,000.00|-
Maverick|66.0|Richard Donner||Mel Gibson,Jodie Foster,James Garner,Graham Greene,Alfred Molina|1994|100|Action,Adventure,Comedy,Drama,Western|poker,mississippi,saloon,ship,native american,on the run,based on tv series,steamboat,attempted robbery,cowboy and outlaw|-|English|2h 7m|-|-
Mud|70.0|Jeff Nichols||Matthew McConaughey,Tye Sheridan,Jacob Lofland,Sam Shepard,Reese Witherspoon|2013|100|Drama|river,snake,arkansas,fugitive,riverboat|$21,587,700.00|English|2h 10m|$10,000,000.00|-
Terminator Salvation|59.0|McG||Christian Bale,Sam Worthington,Anton Yelchin,Moon Bloodgood,Bryce Dallas Howard|2009|100|Action,Science Fiction,Thriller|saving the world,artificial intelligence,prophecy,san francisco,cyborg,killer robot,gas station,post-apocalyptic,dystopia,army,firearm,wartime,los angeles|$371,353,001.00|English|1h 55m|$200,000,000.00|https://www.warnerbros.com/terminator-salvation
Suite Française|72.0|Saul Dibb|Saul Dibb,Matt Charman|Michelle Williams,Kristin Scott Thomas,Matthias Schoenaerts,Sam Riley,Ruth Wilson|2014|100|Drama,Romance,War|based on novel,world war ii,forbidden love,love,french resistance,nazi occupation,german soldier|$9,104,716.00|English|1h 47m|$15,000,000.00|-
The Butterfly Effect|74.0|J. Mackye Gruber,Eric Bress|J. Mackye Gruber,Eric Bress|Ashton Kutcher,Melora Walters,Amy Smart,Elden Henson,William Lee Scott|2004|100|Science Fiction,Thriller|amnesia,chaos theory,blackout,time travel,flashback|$96,060,858.00|English|1h 53m|$13,000,000.00|-
Labor Pains|52.0|Lara Shapiro||Lindsay Lohan,Luke Kirby,Chris Parnell,Aaron Yoo,Bridgit Mendler|2009|93|Comedy|coworker relationship,lying,woman director,publisher,publishing house,fake pregnancy,workplace romance|-|English|1h 29m|-|-
Vampires|59.0|John Carpenter|Don Jakoby|James Woods,Daniel Baldwin,Sheryl Lee,Thomas Ian Griffith,Maximilian Schell|1998|93|Action,Drama,Fantasy,Horror,Thriller|based on novel,new mexico,party,vampire hunter,revenge,priest,church,skull,team,crucifix,cross,relic,vampire slayer,turning into a vampire,drinking blood|-|English|1h 48m|$20,000,000.00|http://www.theofficialjohncarpenter.com/vampires
Futurama: Into the Wild Green Yonder|71.0|Peter Avanzino||Billy West,Katey Sagal,John DiMaggio,Lauren Tom,Phil LaMarr|2009|93|Animation,Comedy|megaphone,feminism,future,wormhole,alien life-form,phone booth,richard nixon,head in jar,based on tv series,direct to video|-|English|1h 30m|-|-
A Silent Voice|83.0|Naoko Yamada|Reiko Yoshida|Miyu Irino,Saori Hayami,Aoi Yuki,Kensho Ono,Yuki Kaneko|2016|100|Drama,Animation|friendship,high school,bullying,coming of age,based on manga,deaf,woman director,sign language,anime|$19,606,617.00|Japanese|2h 10m|-|http://asilentvoice.com.au/
Escape from Alcatraz|73.0|Don Siegel|Richard Tuggle|Clint Eastwood,Patrick McGoohan,Roberts Blossom,Jack Thibeau,Fred Ward|1979|100|Crime,Drama|prison,based on novel,island,mouse,alcatraz,biography,prison warden,escapee convict,pubic hair,escape from prison,dummy,inmate,nude fight,1960s|$43,000,000.00|English|1h 51m|$8,000,000.00|-
The Pursuit of Happyness|78.0|Gabriele Muccino|Steve Conrad|Will Smith,Jaden Smith,Thandie Newton,Brian Howe,James Karen|2006|100|Drama|san francisco,single parent,homeless person,bus,worker,homelessness,work,church service,bad luck,biography,salesman,stockbroker|$307,077,295.00|English|1h 57m|$55,000,000.00|http://www.sonypictures.com/homevideo/thepursuitofhappyness/
Hunting and Gathering|66.0|Claude Berri|Claude Berri|Audrey Tautou,Guillaume Canet,Laurent Stocker,Françoise Bertin,Danièle Lebrun|2007|100|Romance,Drama|paris,grandparent grandchild relationship,roommate,cleaning lady,cook,fractured leg,designer,charity,lovers,kiss,flu,apartment|-|French|1h 37m|-|-
Imperium|63.0|Daniel Ragussis||Daniel Radcliffe,Toni Collette,Tracy Letts,Sam Trammell,Nestor Carbonell|2016|100|Crime,Drama,Thriller|terrorist,undercover,fbi agent,analyst,white supremacy|$35,000.00|English|1h 49m|-|http://www.imperiumthemovie.com/
Shine|73.0|Scott Hicks|Jan Sardi|Geoffrey Rush,Noah Taylor,Armin Mueller-Stahl,Justin Braine,Sonia Todd|1996|100|Drama|letter,jumping,child prodigy,biography,australia,pool,pianist,concert hall,breakdown,piano|-|English|1h 45m|-|-
The Player|69.0|Robert Altman|Michael Tolkin|Tim Robbins,Greta Scacchi,Fred Ward,Whoopi Goldberg,Peter Gallagher|1992|100|Comedy,Drama|homicide,blackmail,enemy,hollywood|$21,706,101.00|English|2h 4m|$8,000,000.00|-
The Postman|78.0|Massimo Troisi,Michael Radford|Massimo Troisi,Michael Radford,Giacomo Scarpelli,Furio Scarpelli|Philippe Noiret,Massimo Troisi,Maria Grazia Cucinotta,Renato Scarpa,Linda Moretti|1994|100|Comedy,Drama,Romance|island,letter,postman,fisherman,poet|-|Italian|1h 48m|-|-
Sorority Row|53.0|Stewart Hendler||Rumer Willis,Briana Evigan,Jamie Chung,Leah Pipes,Teri Andrzejewski|2009|100|Horror,Mystery|graduation,serial killer,blood,slasher,killer,sorority house,axe|$27,206,120.00|English|1h 41m|$12,500,000.00|-
10,000 BC|52.0|Roland Emmerich|Roland Emmerich,Harald Kloser|Steven Strait,Camilla Belle,Cliff Curtis,Nathanael Baring,Mo Zinal|2008|100|Adventure,Action,Drama,Fantasy|hunter,indigenous,lover (female),pyramid,mammoth,sapient,mountain village,stone age,fighter,primitive time,saber-toothed tiger|$266,000,000.00|English|1h 49m|$105,000,000.00|-
The Game|75.0|David Fincher||Michael Douglas,Sean Penn,Deborah Kara Unger,James Rebhorn,Spike Jonze|1997|100|Drama,Thriller,Mystery|sibling relationship,birthday,danger of life,birthday party,surprising|$109,423,648.00|English|2h 9m|$50,000,000.00|-
Sully|70.0|Clint Eastwood|Todd Komarnicki|Tom Hanks,Aaron Eckhart,Laura Linney,Anna Gunn,Autumn Reeser|2016|100|Drama,History|new york,hero,bird,pilot,airplane,investigation,biography,based on true story,travel,rescue,aviation,airplane accident,based on memoir or autobiography,imax,hudson river|$238,470,033.00|English|1h 36m|$60,000,000.00|http://www.sully-movie.com/#home
The Volcano|57.0|Alexandre Coffre||Valérie Bonneton,Denis Ménochet,Bérangère McNeese,Albert Delpy,Tiphanie Daviot|2013|100|Comedy|ex-husband ex-wife relationship,road movie|-|French|1h 32m|-|-
Where the Wild Things Are|64.0|Spike Jonze|Spike Jonze,Dave Eggers|Max Records,Catherine Keener,Lauren Ambrose,James Gandolfini,Catherine O'Hara|2009|100|Family,Fantasy|creature,based on children's book,children's book,lying,overflowing with imagination,children's perspectives|$100,086,793.00|English|1h 41m|$100,000,000.00|http://wherethewildthingsare.warnerbros.com/
Conan the Destroyer|58.0|Richard Fleischer|Stanley Mann|Arnold Schwarzenegger,Grace Jones,Wilt Chamberlain,Tracey Walter,Mako|1984|100|Adventure,Fantasy,Action|swordplay,sword,magic,warrior woman,lone wolf,royalty,barbarian,wizard,sword and sorcery|$100,000,000.00|English|1h 43m|$18,000,000.00|-
Kung Fury|76.0|David Sandberg||David Sandberg,Jorma Taccone,Leopold Nilsson,Andreas Cahling,Helene Ahlson|2015|100|Action,Comedy,Science Fiction,Fantasy|video game,martial arts,kung fu,hacker,nazis,time travel,geek,nerd,arcade,dinosaur,robot,laser gun,1980s,short,nazi|-|English|0h 31m|$630,019.00|http://www.kungfury.com/
You're Next|66.0|Adam Wingard||Sharni Vinson,Nicholas Tucci,Wendy Glenn,AJ Bowen,Joe Swanberg|2011|100|Horror,Thriller,Mystery|greed,family dinner,masked killer,massacre,home invasion,crossbow|$14,347,000.00|English|1h 35m|-|-
Closed Circuit|58.0|John Crowley|Steven Knight|Eric Bana,Rebecca Hall,Ciarán Hinds,Jim Broadbent,Kenneth Cranham|2013|100|Mystery,Drama,Crime,Thriller|terrorist,ex-lover,lawyer,bombing|$5,750,401.00|English|1h 36m|-|http://www.focusfeatures.com/closed_circuit
Star Trek|74.0|J.J. Abrams||Chris Pine,Zachary Quinto,Leonard Nimoy,Eric Bana,Bruce Greenwood|2009|100|Science Fiction,Action,Adventure|spacecraft,teleportation,space mission,parachute,time travel,black hole,supernova,prequel,warp speed,futuristic,warp engine,romulans,outer space,vulcan,alternate reality,space opera,reboot|$385,680,446.00|English|2h 7m|$150,000,000.00|-
The Blue Umbrella|78.0|Saschka Unseld||Sarah Jaffe|2013|56|Animation,Romance|rain,anthropomorphism,umbrella,selective coloring,short|-|English|0h 7m|-|http://www.pixar.com/short_films/Theatrical-Shorts/The-Blue-Umbrella
Batman & Robin|42.0|Joel Schumacher||George Clooney,Chris O'Donnell,Arnold Schwarzenegger,Uma Thurman,Alicia Silverstone|1997|100|Science Fiction,Action,Fantasy,Comedy|double life,dc comics,dual identity,crime fighter,fictional place,gotham city,superhero,credit card,super power|$238,207,122.00|English|2h 5m|$125,000,000.00|-
Transformers: Dark of the Moon|60.0|Michael Bay|Ehren Kruger|Shia LaBeouf,John Malkovich,Ken Jeong,Frances McDormand,Josh Duhamel|2011|100|Action,Science Fiction,Adventure|moon,spacecraft,traitor,bodyguard,alien planet,based on cartoon,transformers,giant robot,sabotage,word domination,commando,duringcreditsstinger|$1,123,746,996.00|English|2h 34m|$195,000,000.00|http://www.transformersmovie.com/
An American in Paris|69.0|Vincente Minnelli|Alan Jay Lerner|Gene Kelly,Leslie Caron,Oscar Levant,Georges Guétary,Nina Foch|1951|100|Drama,Comedy,Music,Romance|paris,painter,musical,parfum,singing,american-in-paris|$4,500,000.00|English|1h 53m|$2,723,903.00|-
Erin Brockovich|71.0|Steven Soderbergh||Julia Roberts,Albert Finney,Aaron Eckhart,Marg Helgenberger,Cherry Jones|2000|100|Drama|biography,based on true story,single mother,water pollution,environmental law,corporate negligence|$256,271,286.00|English|2h 11m|$52,000,000.00|http://www.brockovich.com/movie.html
Harry Brown|67.0|Daniel Barber|Gary Young|Michael Caine,Emily Mortimer,Iain Glen,Lee Oakes,Liam Cunningham|2009|100|Thriller,Crime,Drama,Action|self-defense,widower|$10,329,747.00|English|1h 43m|$7,300,000.00|-
Raising Helen|58.0|Garry Marshall|Michael Begler,Jack Amiel|Kate Hudson,John Corbett,Joan Cusack,Hayden Panettiere,Spencer Breslin|2004|100|Drama,Comedy,Romance|new york,loss of loved one,pastor,world of fasion,mannequin,fashion designer,family relationships|$49,718,611.00|English|1h 59m|$50,000,000.00|-
Dawn of the Planet of the Apes|72.0|Matt Reeves||Andy Serkis,Jason Clarke,Gary Oldman,Keri Russell,Toby Kebbell|2014|100|Science Fiction,Action,Drama,Thriller|leader,colony,post-apocalyptic,dystopia,animal attack,forest,sequel,woods,ape,scientist,monkey,medical research,plague,3d|$710,644,566.00|English|2h 10m|$170,000,000.00|http://www.dawnofapes.com/
I, Frankenstein|51.0|Stuart Beattie|Stuart Beattie|Aaron Eckhart,Yvonne Strahovski,Bill Nighy,Jai Courtney,Miranda Otto|2014|100|Horror,Thriller|soul,queen,anti hero,fantasy,prince,supernatural,frankenstein,good vs evil,gargoyles,fighting,demon,dark,imax,3d|$71,154,592.00|English|1h 32m|$65,000,000.00|http://www.ifrankensteinfilm.com
The Interpreter|62.0|Sydney Pollack||Nicole Kidman,Sean Penn,Catherine Keener,Jesper Christensen,Yvan Attal|2005|100|Crime,Thriller|new york,dictator,africa,destruction of a civilization,assassination,resistance,revenge,murder,united nations,witness to murder,fbi agent,resistance fighter|$162,944,923.00|English|2h 8m|$80,000,000.00|http://www.theinterpretermovie.com/
Salt|62.0|Phillip Noyce||Angelina Jolie,Liev Schreiber,Chiwetel Ejiofor,Daniel Olbrychski,August Diehl|2010|100|Action,Mystery,Thriller|assassination,spy,cia,kidnapping,cold war,soviet union,double agent,race against time,revenge,on the run,shootout,espionage,female protagonist,hitwoman,terrorism,violence,russian spy,intelligence officer,action heroine|$293,329,073.00|English|1h 40m|$110,000,000.00|http://www.sonypictures.com/homevideo/salt/
Once Upon a Time in America|83.0|Sergio Leone|Sergio Leone,Piero De Bernardi,Ernesto Gastaldi,Leonardo Benvenuti ,Enrico Medioli,Franco Arcalli,Franco Ferrini|Robert De Niro,James Woods,Elizabeth McGovern,Joe Pesci,Burt Young|1984|100|Drama,Crime|life and death,corruption,street gang,rape,sadistic,lovesickness,sexual abuse,money laundering,opium|-|English|3h 49m|$30,000,000.00|-
Whip It|67.0|Drew Barrymore|Shauna Cross|Ellen Page,Alia Shawkat,Kristen Wiig,Drew Barrymore,Shannon Eagen|2009|100|Drama|female friendship,sport,coming of age,roller derby,duringcreditsstinger,woman director|$16,633,035.00|English|1h 51m|$15,000,000.00|-
Fantasia 2000|71.0|Pixote Hunt,Paul Brizzi,Gaëtan Brizzi,Francis Glebas,Hendel Butoy,Eric Goldberg,Don Hahn,James Algar||Steve Martin,Itzhak Perlman,Quincy Jones,Bette Midler,James Earl Jones|1999|100|Animation,Family,Music|orchestra,musical segments|$90,874,570.00|English|1h 14m|$80,000,000.00|http://movies.disney.com/fantasia-2000
Superman: Doomsday|66.0|Bruce Timm,Lauren Montgomery||Adam Baldwin,Anne Heche,James Marsters,John DiMaggio,Swoosie Kurtz|2007|100|Action,Animation,Science Fiction|dc comics,superhero,based on comic,super power,death,doomsday,superhuman strength,woman director|-|English|1h 15m|$3,500,000.00|http://www.warnerbros.com/superman-doomsday
The Age of Adaline|74.0|Lee Toland Krieger|Salvador Paskowitz,J. Mills Goodloe|Blake Lively,Michiel Huisman,Harrison Ford,Ellen Burstyn,Kathy Baker|2015|100|Fantasy,Drama,Romance|san francisco,immortality,love,forever|$65,663,276.00|English|1h 52m|$25,000,000.00|http://theageofadalinemovie.com
Blue Lagoon: The Awakening|63.0|Jake Newsome||Indiana Evans,Brenton Thwaites,Denise Richards,Frank John Hughes,Alix Elizabeth Gitter|2012|100|Drama,Adventure,Romance|stranded,marooned,teenager,high school student,deserted island,tropical island,caribbean,lost at sea|-|English|1h 25m|-|-
Halloween: Resurrection|44.0|Rick Rosenthal|Larry Brand|Jamie Lee Curtis,Brad Loree,Busta Rhymes,Bianca Kajlich,Katee Sackhoff|2002|100|Horror,Thriller|sibling relationship,innocence,serial killer,michael myers|$37,664,855.00|English|1h 34m|$13,000,000.00|-
DOA: Dead or Alive|50.0|Corey Yuen||Jaime Pressly,Devon Aoki,Holly Valance,Sarah Carter,Natassia Malthe|2006|100|Adventure,Action,Thriller|competition,martial arts,kung fu,assassin,fight,island,karate,nerd,wrestling,bikini,ninja,tournament,explosion,violence,based on video game,swimsuit|$480,314.00|English|1h 27m|$21,000,000.00|-
What About Bob?|67.0|Frank Oz|Tom Schulman|Bill Murray,Richard Dreyfuss,Julie Hagerty,Charlie Korsmo,Kathryn Erbe|1991|100|Comedy|desperation,idiot,neurosis,new hampshire,psychiatrist,family holiday|$63,710,000.00|English|1h 40m|$35,000,000.00|-
Dead Snow|61.0|Tommy Wirkola|Tommy Wirkola,Stig Frode Henriksen|Charlotte Frogner,Stig Frode Henriksen,Vegar Hoel,Jeppe Beck Laursen,Evy Kasseth Røsten|2009|100|Horror,Comedy|norway,undead,zombie,wintry|$1,984,662.00|Norwegian|1h 31m|$800,000.00|http://www.deadsnow.com
Mean Girls 2|51.0|Melanie Mayron|Elana Lesser,Allison Schroeder|Jennifer Stone,Maiara Walsh,Nicole Gale Anderson,Tim Meadows,Meaghan Jette Martin|2011|100|Comedy|tv movie,woman director,high school rivalry|-|English|1h 36m|-|-
This Is England|74.0|Shane Meadows|Shane Meadows|Thomas Turgoose,Stephen Graham,Jo Hartley,Andrew Shim,Vicky McClure|2006|100|Drama,Crime|holiday,skinhead,england,vandalism,independent film,gang,racism,summer,youth,violence,drug,falklands war,cult film,unemployment,xenophobia,culture|$8,176,544.00|English|1h 41m|$2,380,000.00|http://www.thisisenglandmovie.co.uk/
Kill Command|53.0|Steven Gomez||Vanessa Kirby,Thure Lindhardt,David Ajala,Tom McKay,Deborah Rosan|2016|100|Action,Horror,Science Fiction|dystopia,cyberpunk,robot|-|English|1h 39m|-|-
National Lampoon's Vacation|71.0|Harold Ramis|John Hughes|Chevy Chase,Beverly D'Angelo,Imogene Coca,Randy Quaid,Anthony Michael Hall|1983|100|Comedy,Adventure,Romance|usa,relatives,road trip,domestic life,family vacation,family holiday,theme park,duringcreditsstinger|$61,399,552.00|English|1h 38m|$15,000,000.00|-
Kung Pow: Enter the Fist|61.0|Steve Oedekerk|Steve Oedekerk|Hui Lou Chen,Tad Horino,Steve Oedekerk,Jennifer Tung,Ming Lo|2002|100|Action,Comedy|loss of loved one,supernatural powers,invulnerability,spoof,evil,murder hunt|-|English|1h 21m|-|-
Last Man Standing|62.0|Walter Hill|Walter Hill|Bruce Willis,Bruce Dern,William Sanderson,Christopher Walken,David Patrick Kelly|1996|100|Action,Crime,Drama,Thriller|prohibition,texas,gang war,whiskey,mafia,on the run,tommy gun,hired gun|$47,267,001.00|English|1h 41m|$67,000,000.00|-
